Enew,Eold
154.651,138.409
122.113,154.651
190.044,122.113
142.644,190.044
135.71,142.644
151.272,135.71
156.985,151.272
124.45,156.985
120.511,124.45
185.031,120.511
187.394,185.031
135.353,187.394
127.445,135.353
146.719,127.445
163.724,146.719
120.979,163.724
146.247,120.979
172.551,146.247
139.974,172.551
129.207,139.974
123.071,129.207
212.942,123.071
145.959,212.942
136.159,145.959
146.999,136.159
96.8412,146.999
134.774,96.8412
168.547,134.774
145.879,168.547
173.004,145.879
164.667,173.004
124.606,164.667
131.374,124.606
146.592,131.374
137.434,146.592
157.381,137.434
111.251,157.381
120.517,111.251
112.951,120.517
126.975,112.951
134.521,126.975
157.58,134.521
148.24,157.58
134.829,148.24
134.294,134.829
168.986,134.294
153.161,168.986
141.154,153.161
151.953,141.154
155.803,151.953
147.733,155.803
150.767,147.733
132.842,150.767
144.853,132.842
155.777,144.853
161.821,155.777
142.041,161.821
122.034,142.041
144.713,122.034
162.337,144.713
137.458,162.337
132.464,137.458
123.944,132.464
134.342,123.944
156.57,134.342
120.807,156.57
110.541,120.807
140.965,110.541
151.761,140.965
179.263,151.761
168.527,179.263
158.339,168.527
150.932,158.339
173.66,150.932
147.862,173.66
131.387,147.862
148.96,131.387
130.492,148.96
190.786,130.492
170.965,190.786
156.238,170.965
149.916,156.238
171.823,149.916
178.044,171.823
183.999,178.044
192.9,183.999
189.513,192.9
182.174,189.513
176.148,182.174
188.04,176.148
188.04,188.04
180.44,188.04
195.571,180.44
151.471,195.571
162.149,151.471
153.048,162.149
147.517,153.048
165.341,147.517
140.887,165.341
155.862,140.887
198.274,155.862
188.727,198.274
206.195,188.727
153.117,206.195
139.847,153.117
151.781,139.847
128.248,151.781
155.009,128.248
221.942,155.009
179.258,221.942
189.444,179.258
141.224,189.444
221.25,141.224
173.24,221.25
164.698,173.24
179.547,164.698
133.434,179.547
161.609,133.434
156.151,161.609
151.605,156.151
168.808,151.605
146.061,168.808
158.363,146.061
133.634,158.363
145.625,133.634
139.016,145.625
157.8,139.016
155.625,157.8
151.754,155.625
167.216,151.754
150.915,167.216
156.84,150.915
172.605,156.84
161.165,172.605
152.816,161.165
169.537,152.816
152.26,169.537
161.842,152.26
146.804,161.842
138.869,146.804
142.225,138.869
168.451,142.225
177.296,168.451
164.417,177.296
157.286,164.417
155.253,157.286
159.381,155.253
169.25,159.381
132.048,169.25
198.074,132.048
149.707,198.074
168.976,149.707
195.587,168.976
171.486,195.587
122.643,171.486
166.761,122.643
197.862,166.761
199.135,197.862
187.445,199.135
170.652,187.445
148.45,170.652
135.253,148.45
121.134,135.253
175.222,121.134
146.469,175.222
160.179,146.469
197.683,160.179
172.137,197.683
181.047,172.137
122.91,181.047
113.265,122.91
111.879,113.265
173.956,111.879
165.527,173.956
148.2,165.527
199.097,148.2
162.484,199.097
136.462,162.484
176.172,136.462
165.226,176.172
144.582,165.226
183.023,144.582
151.567,183.023
158.435,151.567
172.482,158.435
169.892,172.482
220.265,169.892
167.357,220.265
174.205,167.357
92.9539,174.205
136.313,92.9539
112.462,136.313
141.848,112.462
166.088,141.848
185.053,166.088
212.715,185.053
200.437,212.715
179.747,200.437
151.703,179.747
148.947,151.703
144.298,148.947
171.012,144.298
151.194,171.012
181.637,151.194
149.915,181.637
133.693,149.915
154.13,133.693
136.495,154.13
150.458,136.495
128.034,150.458
180.854,128.034
143.309,180.854
172.269,143.309
164.74,172.269
149.422,164.74
124.773,149.422
177.757,124.773
200.467,177.757
151.137,200.467
151.137,151.137
148.288,151.137
149.893,148.288
146.873,149.893
147.274,146.873
162.121,147.274
164.979,162.121
147.775,164.979
154.257,147.775
170.783,154.257
165.348,170.783
172.772,165.348
143.981,172.772
208.78,143.981
138.822,208.78
122.671,138.822
209.548,122.671
154.449,209.548
135.979,154.449
129.874,135.979
190.522,129.874
161.636,190.522
136.773,161.636
139.951,136.773
137.82,139.951
158.988,137.82
137.548,158.988
149.12,137.548
160.325,149.12
168.407,160.325
184.211,168.407
143.085,184.211
143.085,143.085
157.731,143.085
148.316,157.731
119.836,148.316
126.961,119.836
141.588,126.961
150.941,141.588
204.485,150.941
157.474,204.485
138.962,157.474
106.404,138.962
182.791,106.404
134.957,182.791
165.211,134.957
158.337,165.211
169.075,158.337
141.149,169.075
194.67,141.149
181.075,194.67
150.195,181.075
128.971,150.195
131.333,128.971
107.52,131.333
111.84,107.52
101.91,111.84
160.267,101.91
182.292,160.267
140.379,182.292
116.675,140.379
146.046,116.675
153.096,146.046
173.498,153.096
189.616,173.498
175.74,189.616
148.223,175.74
168.098,148.223
170.311,168.098
173.642,170.311
149.399,173.642
114.979,149.399
128.606,114.979
107.28,128.606
143.611,107.28
137.524,143.611
134.582,137.524
171.807,134.582
152.908,171.807
174.095,152.908
151.049,174.095
137.019,151.049
163.21,137.019
161.542,163.21
149.859,161.542
169.033,149.859
165.106,169.033
180.622,165.106
141.908,180.622
198.559,141.908
182.807,198.559
188.224,182.807
156.186,188.224
133.722,156.186
180.96,133.722
137.401,180.96
111.877,137.401
112.815,111.877
150.243,112.815
150.243,150.243
123.558,150.243
123.558,123.558
